Titulo   Contexto   Fecha   Categoria   Contenido
Expertos aprueban la “Iniciativa Popular de Ley”: de qué trata la propuesta Constitucional   Los comisionados aprobaron este jueves el tercer capítulo del ante proyecto de borrador, llamado “Participación política y represenación”.   25.05.2023   politica   Este jueves, la Comisión de Expertos, que se encuentra elaborando el ante proyecto de borrador constitucional, se encuentra votando el tercer capítulo de la propuesta, llamado “Participación política y represenación”. Entre las normas aprobabas se estableció que “en las votaciones populares y referendos, el sufragio será personal, igualitario, secreto, informado y obligatorio“, además “La ley regulará la propaganda electoral y establecerá también un sistema de financiamiento público, transparencia, límite y control del gasto electoral”. Otra parte relevante del borrador aprobado por ls expertos, establece que “Los partidos políticos son asociaciones autónomas y voluntarias organizadas democráticamente, dotadas de personalidad jurídica de derecho público, integradas por personas naturales que comparten los mismos principios ideológicos y políticos“. Durante la jornada, los comisionados aprobaron la posibilidad de que la sociedad civil pueda presentar proyectos de ley o proponer derogar alguna legislación. El artículo 37 del anteproyecto establece: “Un grupo de personas habilitadas para sufragar equivalente al dos por ciento del último padrón electoral podrá presentar a cualquiera de las ramas del Congreso Nacional una iniciativa popular de ley para su tramitación legislativa“. En un segundo inciso explica que ” Las iniciativas deben expresarse por escrito, contener las ideas matrices o fundamentales que las motivan y el articulado que al respecto se proponga. Si la iniciativa se trata de aquellas de iniciativa exclusiva del Presidente de la República, una vez reunidas los patrocinios exigidos, el Servicio Electoral remitirá el proyecto al Presidente, quién resolverá si patrocinar o no la iniciativa en el plazo de treinta días”. Finalmente, el artículo concluye explicando que “Las iniciativas populares de ley deberán registrarse ante el Servicio Electoral, el que dispondrá de un sistema expedito y electrónico, a partir del cual habrá un plazo de ciento ochenta días para que la propuesta sea conocida por la ciudadanía y pueda reunir los patrocinios exigidos en el inciso primero. En caso de reunir el apoyo requerido, el Servicio Electoral remitirá la propuesta popular de ley al Con greso Nacional, para que este dé inicio al proceso de formación de ley. El Congreso dará cuenta a la ciudadanía cada seis meses sobre el avance de la tramitación de estas iniciativa“. La propuesta de Carta Magna, hasta el momento, establece en su artículo 38 la posibilidad de juntar las firmas del 3% del último padrón electoral, para derogar una ley parcial o totalmente. Al igual que en el caso anterior, el Servel deberá disponer de un sitio web donde se buscarán los apoyos, para luego realizar un referendum. El ariculado aclara que “Previo a que el referendo pueda ser convocado, la Corte Constitucional deberá realizar un examen de admisibilidad y pronunciarse respecto a si la iniciativa de referendo es susceptible de producir un efecto que contraviene la Constitución o los derechos adquiridos conforme al ordenamiento jurídico vigente; si cumple con el requisito de ser planteada de manera clara y fundada; y que no se refiera o afecte a los tributos e impuestos vigentes ni a la administración financiera del Estado. El referendo sólo podrá ser convocado tras haber sido declarado admisible por la Corte Constitucional”. Para que la derogación sea efectiva, deben participar al menos un 30% de las personas que sufragaron en la útima elección de diputados, y superar el 50% más un voto de aprobación. Con ellos, se dará por modificada la ley, lo que será comunicado al Congreso Nacional.
Asalto al Capitolio de EE. UU.: 18 años de cárcel a líder del grupo extremista Oath Keepers   Stewart Rhodes, quien fue condenado por conspiración sediciosa, no mostró remordimiento ni solicitó clemencia.   25.05.2023   politica   En un hito significativo en la investigación sobre el asalto al Capitolio de Estados Unidos el 6 de enero de 2021, el fundador del grupo extremista Oath Keepers, Stewart Rhodes, fue condenado el jueves a 18 años de prisión por organizar un complot sedicioso. Esta condena marca la sentencia más larga hasta el momento en los numerosos juicios relacionados con la insurrección. Rhodes se convierte en la primera persona acusada por el ataque del 6 de enero en recibir una condena por conspiración sediciosa. Su condena es vista como un mensaje claro de que las acciones se usarán para socavar la democracia y desestabilizar el gobierno no serán toleradas. El juez federal de distrito Amit Mehta, antes de pronunciar la sentencia, afirmó que Rhodes representa un peligro para el país, ya que busca que la democracia se deteriore en violencia. El juez también le detectaron que, una vez en libertad, Rhodes estaría dispuesto a recurrir a las armas contra su propio gobierno. En respuesta a la sentencia, Rhodes no mostró remordimiento ni solicitó clemencia. En cambio, se autodenominó un “prisionero político” y criticó a los fiscales y al gobierno de Biden. Además, trató de minimizar sus acciones del 6 de enero, argumentando que su único delito es oponerse a quienes, según él, están destruyendo el país. El Departamento de Justicia ha considerado este caso de gran importancia, ya que busca demostrar que la insurrección llevada a cabo por grupos extremistas de derecha como los Oath Keepers no fue una protesta espontánea, sino el resultado de semanas de planificación para anular la victoria electoral de Joe Biden. Kelly Meggs, otro miembro destacado de los Oath Keepers, fue condenado junto con Rhodes en noviembre pasado y está pendiente de recibir su sentencia en las próximas horas. Se espera que otros miembros del grupo sean sentenciados el viernes y la próxima semana. Fundado en 2009 por Stewart Rhodes, el grupo Oath Keepers se convirtió en una de las milicias antigubernamentales de derecha más grandes en Estados Unidos. Integrado por militares y policías en servicio activo o retirados, el grupo promueve la creencia de que el gobierno federal busca privar a los ciudadanos de sus libertades civiles y se presenta a sí mismo como su defensor contra la tiranía.
Allanan municipalidad de Las Condes por investigación de presunto sobreprecio pagado por edificio para Cesfam   Un grupo de concejales denunció que se habrían pagado de más unos de 400 millones de pesos por el inmueble ubicado en calle Nueva Delhi.   25.05.2023   politica   "En un nuevo desarrollo en el caso de presuntas irregularidades en la compra de un inmueble para la construcción de un Centro de Salud Familiar (Cesfam), este jueves se llevó a cabo un allanamiento en la municipalidad de Las Condes. El procedimiento tuvo lugar al mediodía y se solicitó a los funcionarios municipales, incluida la alcaldesa Daniela Peñaloza (UDI), que entregaron voluntariamente información y ciertos elementos de trabajo, como computadores. Los concejales Catalina San Martín (Evópoli), Patricio Bopp (IND-ex UDI), Leonardo Prat (IND-REP) y Sergio Melnick (IND-REP) presentaron una denuncia ante la Fiscalía por presuntas irregularidades en la compra del mencionado inmueble por parte del municipio bajo la administración de la alcaldesa Peñaloza. Según la acusación, se alega que la administración municipal habría pagado alrededor de $430 millones de más por el inmueble ubicado en calle Nueva Delhi. Una investigación realizada por Ciper reveló que los documentos notariales de compraventa indicaban que la Municipalidad de Las Condes adquirió la propiedad el 30 de diciembre de 2022 por un monto de 24.280 UF, aproximadamente 852 millones de pesos. Sin embargo, un mes antes, la misma propiedad había sido comprada por la administradora de capitales Vulcon Asset Management por 12.144 UF, es decir, unos $422 millones. Las denuncias presentadas por los concejales y las investigaciones de la investigación de Ciper han generado preocupación y cuestionamientos sobre el proceso de compra del inmueble y la posible sobrevaloración del mismo. La alcaldesa, Daniela Peñaloza, señaló que “de forma voluntaria entregué mi computador, porque quiero que la policía cuente con todos los antecedentes para esclarecer cuanto antes la situación”. La jefa comunal también aseguró que iniciaron un sumario administrativo y contrataron una asesoría externa para evaluar “mejor los errores que puedan haber existido en esta compra”. Lo dijimos desde el primer día: colaboraremos en todo lo que nos solicite la Fiscalía Metropolitana Oriente en el marco de esta investigación. Cuenten con el compromiso pleno de esta administración y de esta alcaldesa pic.twitter.com/5DfCcnjcP6 — Daniela Peñaloza (@danielapenaloza) May 25, 2023 "
Natalia Piergentili y una posible renuncia como líder del PPD: “En lo personal esas cosas rondan”   Por su parte, la timonel del partido sostuvo que su intención, de ahora en adelante, es preparar un Consejo de partido a la altura.   24.05.2023   politica   Este miércoles, la líder del Partido por la Democracia (PPD), Natalia Piergentili se refirió a su renuncia como timonel del partido. En ese contexto, afirmó que “en lo personal esas cosas rondan“. Recordemos que la legisladora, esta semana, ha estado en el centro de la discusión, tras calificar como “monos peludos” a parte del electorado oficialista. Ahora, son los dichos de la vicepresidenta del partido, Paz Suárez las que han generado debate. Esto, luego que Suárez manifestara, tras las declaraciones de Piergentili, que la ministra del Interior, Carolina Tohá, “se puede enojar si quiere, finalmente, todo el PPD en algún momento se enojó con ella por el tema Soquimich, así que se enoje lo que quiera”. “Se han enviado los antecedentes al Tribunal Supremo, que es un órgano del partido, la institucionalidad funciona y entiendo que hoy en la tarde se van a reunir los miembros del Tribunal Supremo“, agregó. Al ser consultada por sí se le debería pedir la renuncia a Paz Suárez, la timonel del PPD descartó adelantar una posición. “Yo entiendo que las instituciones tienen que funcionar y para eso los partidos políticos tienen tribunales supremos“, dijo. Respecto a la posibilidad de que ella pueda renunciar a su cargo, Piergentili aclaró que “me lo han preguntando mil veces, por cierto que en lo personal esas cosas rondan“. No obstante, sostuvo que su intención, de ahora en adelante, es preparar un Consejo de partido. “Cuando tú tienes el respaldo de su Comisión Política (del partido), que además te pide que encamines al partido a una discusión de los temas de fondo que preocupan, mi intención y dedicación hoy es a preparar un Consejo de altura, donde se fraternice entre miembros del partido y el diálogo sea sobre temas de fondo”, concluyó.
Presidente Boric insiste en la Reforma Tributaria y pide a alcaldes “que nos ayuden a convencer a sus parlamentariosâ   El jefe de Estado participó del aniversario número 30 de la Asociación Chilena de Municipalidades, donde señaló a los jefes comunales que “nuestro mandante es el pueblo de Chile”.   24.05.2023   politica   La Asociación Chilena de Municipalidades (AChM) celebró su trigésimo aniversario este miercoles durante una asamblea realizada a cabo en la ciudad de La Serena. El Presidente Gabriel Boric participó en el evento de manera telemática y reafirmó la importancia de implementar una reforma tributaria en el país. Además, hizo un llamado a los alcaldes presentes para persuadir a sus representantes parlamentarios para avanzar en esta materia. Durante su intervención, el Mandatario citó un discurso pronunciado por el expresidente Manuel Bulnes en 1843, en el cual se mencionó la necesidad de contar con fondos para las autoridades comunales y sus respectivos territorios. El Presidente Boric resaltó las palabras del expresidente Bulnes, que enfatizaban la importancia de aumentar los recursos de las municipalidades para que pudieran llevar a cabo sus operaciones de manera eficiente en beneficio de las comunidades y el orden público. Asimismo, manifestó su preocupación por la escasez de recursos en varios departamentos del país. El Jefe de Estado dijo “como gobierno nos hemos comprometido a aumentar de manera sustantiva el fondo común municipal para tener una mejor distribución de las rentas a lo largo del territorio. Pero para eso, necesitamos de su apoyo para convencer a sus parlamentarias y parlamentarios de que Chile necesita una reforma tributaria para poder tener una mejor distribución de la riqueza que todos generamos y no para que el Estado se llene los bolsillos. No se trata de eso, sino para que ustedes, municipalidades, tengan más recursos para que puedan hacerse cargo de las demandas de su población”. Gracias presidente @gabrielboric por su importante saludo, sigamos relevando el rol municipal como protagonista en entregar mayor bienestar para cada ciudadano y ciudadana de nuestro país. pic.twitter.com/wEEmPyRuss — Carolina Leitao (@CarolinaLeitao) May 25, 2023  El mandatario también reconoció que son los alcaldes quienes están en contacto directo con la ciudadanía y quienes deben responder a sus demandas y necesidades. Asimismo, hizo hincapié en que el objetivo principal debe servir a las personas y no distraerse en disputas políticas. âRecordemos para quién trabajamos, nuestro mandante es el pueblo de Chile, a ellos nos debemosâ, concluyó el Presidente Boric.
Comisión de Expertos: aprueban cinco derechos sociales y un nuevo catálogo de deberes   El organismo estableció que los derechos aprobados “deberán desarrollarse de manera “progresiva, sin discriminaciones arbitrarias, con responsabilidad fiscal y a través de instituciones públicas y privadas”.   24.05.2023   politica   "Luego de que en la jornada del martes se aprobara el primer capítulo del ante proyecto de nueva Constitución, durante este miércoles el pleno de los comisionados se enfocaron en el segundo acápite, que incluye una lista de derechos y otra de deberes. Esto último representa una novedad con respecto a la actual Carta Magna. La instancia aprobó el marco general de los derechos sociales, los que se agrupan en el artículo 24, donde se establece que “El Estado deberá adoptar medidas adecuadas para realizar los derechos a la salud, a la vivienda, al agua y al saneamiento, a la seguridad social y a la educación”.  a) El desarrollo progresivo para lograr la plena efectividad de estos derechos. b) El aseguramiento de un nivel adecuado de protección para cada derecho. c) La no discriminación o diferenciación arbitraria. d) La remoción de obstáculos para asegurar condiciones efectivas de igualdad. e) El empleo del máximo de recursos disponibles, con responsabilidad fiscal. f) La satisfacción a través de instituciones estatales y privadas, según corresponda. La Comisión de Expertos aprobaron un nuevo catálogo de deberes que acompañará a los derechos sociales. Esto es una innovación con respecto a la actual carta de derechos. Hernán Larraín dijo al respecto que âen materia de deberes constitucionales puedo señalar que considero una novedad la incorporación de un párrafo de estas características, esto debe ser reconocido como una mirada integral de lo que son los derechos. Se dice mucho, pero no se hace. Siempre que hay un derecho, hay un deberâ, consigna La Tercera. Alexis Cortés, experto designado por el PC destacó sobre esto que “a veces prolifera que solo hay exigencia de derechos, pero no de deberes. Eso no es así, especialmente en esta nueva comprensión de un Estado social y democrático de derecho. Todos debemos contribuir, quiero ser insistente en esta idea“. 1. Todas las personas deben respetarse y comportarse fraternal y solidariamente. Asimismo, deben honrar la tradición republicana, defender y preservar la democracia, y observar fiel y lealmente la Constitución y la ley. 2. Del mismo modo, deben contribuir a preservar el patrimonio ambiental, cultural e histórico de Chile. 3. Es un deber de todos los habitantes de la República proteger el medio ambiente, considerando las generaciones futuras y prevenir la generación de daño ambiental. En caso que se produzca, serán responsables del daño que causen, contribuyendo a su reparación, en conformidad a la ley. 4. Todo habitante de la República debe respeto a Chile y a sus emblemas nacionales. Los chilenos tienen el deber de honrar a la patria. 5. Todos los ciudadanos que ejercen funciones públicas tienen el deber de desempeñar fiel y honradamente sus cargos, dando cumplimiento al principio de probidad en todas sus actuaciones. Combatir la corrupción es un deber de todos los habitantes de la República. 6. Los habitantes de la República deben cumplir con las cargas públicas, contribuir al sostenimiento del gasto público mediante el pago de tributos, y votar en las elecciones y referendos, todo de conformidad a la Constitución y la ley. Asimismo, deben defender la paz y usar métodos pacíficos de acción política. 7. Los habitantes de la República tienen el deber de asistir, alimentar, educar y amparar a sus hijos. Por su parte, ellos tienen el deber de respetar a sus padres, madres y ascendientes, y de asistirlos, alimentarlos y socorrerlos cuando estos los necesiten. 8. Toda persona, institución o grupo debe velar por el respeto de la dignidad de los niños. "
Ministro Marcel por proyecto ‘No mas cobros en UF’: “Hay que entender para qué se usa, antes de prohibirlo”   La iniciativa tiene el objetivo de prohibir el uso de la UF para cobrar créditos hipotecarios, arriendos, planes de salud y educación.   24.05.2023   politica   Este miércoles, el ministro de Hacienda, Mario Marcel, se refirió al proyecto de ley “No más cobros en UF“. Al respecto, aseguró que “primero, hay que entender para qué se usa, antes de prohibirlo“. Esto, luego que durante esta jornada, la UF superó los $36 mil, registrando un alza de $6 mil desde el mismo periodo de 2021. En dicha fecha, la UF llegaba a las $29.578, mientras que en mayo de 2022 se registró en $32.547. Y este lunes, alcanzó los $36.001. A raíz de esta situación, el diputado Daniel Manouchehri (PS) presentó el proyecto “No más cobros en UF“. En ese sentido, aseguró que “el alza de la UF golpea a la gente. La UF nació en los 60â para proteger los ahorros de los chilenos de la inflación, pero se ha transformado en un abuso en contra de los chilenos. Protege de la inflación a los bancos, a las universidades privadas, a las Isapres, pero no a la gente. A la gente le pagan en pesos, pero le cobran en UF. Sube la UF, pero no suben los salarios“. Asimismo, la diputada Daniella Cicardini (PS) sostuvo que “este sufrimiento que se reajusta mensualmente y que afecta al bolsillo de chilenos y chilenas, afecta con más fuerza al superar la barrera de los 36 mil pesos, y va a seguir pasando mientras exista el contrasentido de que la gente tenga que pagar en UF y recibir su sueldo en pesos“.
Embajador de Israel acusa que Roger Waters se “vistió de nazi” tras performance del disco “The Wall”   Gil Artzyeli aseguró que el ex vocalista de Pink Floyd usó el”uniforme de las SS”en un show en Alemania, siendo que es una representación que realiza hace tres décadas.   24.05.2023   politica   "El embajador de Israel en Chile, Gil Artzyeli, provocó varios comentarios en redes sociales tras acusar al exlíder de la banda Pink Folyd, Roger Waters, de “vestirse de nazi” en un show realizado en Alemania el pasado 17 de mayo. El diplomático escribió en su cuenta de Twitter “La última “gracia” de Roger Waters: en su concierto de ayer en Berlín se vistió de nazi. Así es, se puso el uniforme de las SS”. Además, acusó que “su estándar moral es más que dudoso, pues apoya tmbn (SIC) la invasión rusa a Ucrania y defiende la “democracia” de Venezuela entre otras dictaduras”. El legendario artistas tiene dos conciertos agendados en el Estadio Monumental, sobre esto Artzyeli aseguró que “en noviembre hará dos conciertos en Chile, una excelente oportunidad para que antisemitas, neonazis, pro invasión de Ucrania, chavistas y totalitarios de todo tipo vayan a verlo y se sientan a gusto”. La última ""gracia"" de Roger Waters: en su concierto de ayer en Berlín se vistió de nazi. Así es, se puso el uniforme de las SS. Su estándar moral es más que dudoso, pues apoya tmbn la invasión rusa a Ucrania y defiende la ""democracia"" de Venezuela entre otras dictaduras. Enâ¦ pic.twitter.com/LRLzB80ivJ — Gil Artzyeli (@Gil_Artzyeli) May 24, 2023  Tras las críticas a la publicación, el embajador se volvió a referir al tema en sus redes sociales, aclarando que “conozco The Wall pero vestirse de nazi no es un tema de ropa sino de su identidad. Utilizar cerdos pintados con una estrella de David es puro antisemitismo, sea parte de The Wall o no“. Asegurando que “En el mismo concierto, Waters usó la figura de Ana Frank para promover el odio hacia Israel, y no es la primera vez que lo hace”.  Roger Waters siempre ha tenido una propuesta política sobre el escenario, esto desde que era parte de Pink Floyd, que desde sus comienzos se ha involucrado en temáticas que van más allá de la simple música. El disco The Wall, lanzado en 1979, es una especie de biografía de Waters, donde a través de un pseudónimo (Pink) muestra las vivencias y traumas de un cantante famoso, quien se ve envuelto en una espiral de locura al enfrentarse a la fama, drogas y expectativas sobre sí mismo. La muerte del padre del artista en la Segunda Guerra Mundial, marcó profundamente al cantante, incluyendo al totalitarismo como un antagonista permanente en su carrera, que lo reprime e impide el desarrollo libre de los seres humanos. El cantante asume la figura del represor como propia, ya que desde su perspectiva, muchas veces un artista famoso suele actuar como un dictador frente a su público, poniendo un “ladrillo” más en el muro que separa al músico del público. Roger Waters es uno de los artistas más conocidos a nivel mundial que realiza un activismo en contra del gobierno e Israel y de la invasión a Palestina. “Estás sentado en tu casa, ahí en tu casa, donde tu familia ha vivido durante cientos de años. Y algunos vienen y dicen, eso es nuestro. Soy un colono y voy a quitarte tu casa. No me importa lo que hagas. Morir, eso sería lo mejor“,es parte de declaraciones hechas por Waters. En su vista anterior al país, en el año 2018, donde realizó un concierto en el Estadio Nacional, señaló que âNo estoy en contra de ninguna religión ni contra los judíos, pero sí estoy en contra del supremacismoâ."
PPD llevará a vicepresidenta Paz Suárez al Tribunal Supremo del partido tras polémicos dichos sobre Carolina Tohá   “Reafirmamos nuestro compromiso y apoyo con nuestra ministra del Interior, Carolina Tohá y con el gobierno del presidente Gabriel Boric”, afirmaron desde el partido.   24.05.2023   politica   Mediante un comunicado, el Partido Por la Democracia (PPD) informó que llevarán a la vicepresidenta de la colectividad, Paz Suárez, al Tribunal Supremo. Esto luego de sus polémicos dichos en contra de la ministra del Interior y militante del partido, Carolina Tohá, emitidos en el programa “Tiempos Violentos”, del canal ViaX. En dicho espacio, Suárez dijo que Tohá “se puede enojar si quiere. Finalmente, todo el PPD en algún momento se enojó con ella por el tema Soquimich“, haciendo alusión a las críticas contra Natalia Piergentili tras sus comentarios en contra de parte del oficialismo. Desde el partido indicaron que estos comentarios “obedecen a una opinión errónea y equivocada, que no representa lo que nuestro partido ni los militantes piensan sobre nuestra ministra”. “Reafirmamos nuestro compromiso y apoyo con nuestra ministra del Interior, Carolina Tohá y con el gobierno del presidente Gabriel Boric”, agregaron. En esa línea, desde el PPD manifestaron que elevarán este caso al Tribunal Supremo del partido “con el objeto de dar cuenta de la presente situación, la analice y aplique las sanciones necesarias y pertinentes“. La timonel del partido, Natalia Piergentili, rechazó estos dichos. “Las declaraciones de Paz Suárez están fuera de cualquier crítica política legítima“, aseveró. “La descalificación a Carolina Tohá es injustificada y gratuita. Le solicité al Tribunal Supremo que aborde este caso y sancione“, dijo en sus redes sociales.
Asalto al Capitolio de EE. UU.: 18 años de cárcel a líder del grupo extremista Oath Keepers   Stewart Rhodes, quien fue condenado por conspiración sediciosa, no mostró remordimiento ni solicitó clemencia.   25.05.2023   politica   En un hito significativo en la investigación sobre el asalto al Capitolio de Estados Unidos el 6 de enero de 2021, el fundador del grupo extremista Oath Keepers, Stewart Rhodes, fue condenado el jueves a 18 años de prisión por organizar un complot sedicioso. Esta condena marca la sentencia más larga hasta el momento en los numerosos juicios relacionados con la insurrección. Rhodes se convierte en la primera persona acusada por el ataque del 6 de enero en recibir una condena por conspiración sediciosa. Su condena es vista como un mensaje claro de que las acciones se usarán para socavar la democracia y desestabilizar el gobierno no serán toleradas. El juez federal de distrito Amit Mehta, antes de pronunciar la sentencia, afirmó que Rhodes representa un peligro para el país, ya que busca que la democracia se deteriore en violencia. El juez también le detectaron que, una vez en libertad, Rhodes estaría dispuesto a recurrir a las armas contra su propio gobierno. En respuesta a la sentencia, Rhodes no mostró remordimiento ni solicitó clemencia. En cambio, se autodenominó un “prisionero político” y criticó a los fiscales y al gobierno de Biden. Además, trató de minimizar sus acciones del 6 de enero, argumentando que su único delito es oponerse a quienes, según él, están destruyendo el país. El Departamento de Justicia ha considerado este caso de gran importancia, ya que busca demostrar que la insurrección llevada a cabo por grupos extremistas de derecha como los Oath Keepers no fue una protesta espontánea, sino el resultado de semanas de planificación para anular la victoria electoral de Joe Biden. Kelly Meggs, otro miembro destacado de los Oath Keepers, fue condenado junto con Rhodes en noviembre pasado y está pendiente de recibir su sentencia en las próximas horas. Se espera que otros miembros del grupo sean sentenciados el viernes y la próxima semana. Fundado en 2009 por Stewart Rhodes, el grupo Oath Keepers se convirtió en una de las milicias antigubernamentales de derecha más grandes en Estados Unidos. Integrado por militares y policías en servicio activo o retirados, el grupo promueve la creencia de que el gobierno federal busca privar a los ciudadanos de sus libertades civiles y se presenta a sí mismo como su defensor contra la tiranía.
